Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
140	 2.0000 V	 0 V	 695.0 mV	 0 V	 15.5010 mA	 1.550100000 mA/um
141	 2.0000 V	 0 V	 700.0 mV	 0 V	 15.5090 mA	 1.550900000 mA/um
142	 2.0000 V	 0 V	 705.0 mV	 0 V	 15.4570 mA	 1.545700000 mA/um
143	 2.0000 V	 0 V	 710.0 mV	 0 V	 15.6030 mA	 1.560300000 mA/um
144	 2.0000 V	 0 V	 715.0 mV	 0 V	 15.7900 mA	 1.579000000 mA/um
145	 2.0000 V	 0 V	 720.0 mV	 0 V	 15.8700 mA	 1.587000000 mA/um
146	 2.0000 V	 0 V	 725.0 mV	 0 V	 15.8500 mA	 1.585000000 mA/um
147	 2.0000 V	 0 V	 730.0 mV	 0 V	 15.9890 mA	 1.598900000 mA/um
148	 2.0000 V	 0 V	 735.0 mV	 0 V	 16.1190 mA	 1.611900000 mA/um
149	 2.0000 V	 0 V	 740.0 mV	 0 V	 16.0990 mA	 1.609900000 mA/um
150	 2.0000 V	 0 V	 745.0 mV	 0 V	 16.1110 mA	 1.611100000 mA/um
151	 2.0000 V	 0 V	 750.0 mV	 0 V	 16.3340 mA	 1.633400000 mA/um
152	 2.0000 V	 0 V	 755.0 mV	 0 V	 16.4270 mA	 1.642700000 mA/um
153	 2.0000 V	 0 V	 760.0 mV	 0 V	 16.4170 mA	 1.641700000 mA/um
154	 2.0000 V	 0 V	 765.0 mV	 0 V	 16.4560 mA	 1.645600000 mA/um
155	 2.0000 V	 0 V	 770.0 mV	 0 V	 16.6850 mA	 1.668500000 mA/um
156	 2.0000 V	 0 V	 775.0 mV	 0 V	 16.6950 mA	 1.669500000 mA/um
157	 2.0000 V	 0 V	 780.0 mV	 0 V	 16.6460 mA	 1.664600000 mA/um
158	 2.0000 V	 0 V	 785.0 mV	 0 V	 16.8720 mA	 1.687200000 mA/um
159	 2.0000 V	 0 V	 790.0 mV	 0 V	 16.9850 mA	 1.698500000 mA/um
